cell,direction,level,pair_or_POOLED,regime_bucket,regime,half,n,mean_R,NW_SE,NW_CI_low
cci,short,pair,USD_SGD,ATR_high_67_100,high,full,352,0.06893097984111056,0.05651638322984692,-0.041841131289389405
cci,short,pair,USD_SGD,ATR_low_0_33,low,full,474,0.02973000429465315,0.06187235673269867,-0.09153981490143624
cci,short,pair,USD_SGD,ATR_mid_33_67,mid,full,307,0.03547693578627802,0.10370405173032528,-0.16778300560515952
cci,short,pair,USD_SGD,ATR_high_67_100,high,h1,181,-0.02745250586217969,0.06256047164425535,-0.1500710302849202
cci,short,pair,USD_SGD,ATR_low_0_33,low,h1,240,0.1633144829644439,0.07040403441833291,0.02532257550451139
cci,short,pair,USD_SGD,ATR_mid_33_67,mid,h1,131,0.24870898682850243,0.060987962626837304,0.12917258007990132
cci,short,pair,USD_SGD,ATR_high_67_100,high,h2,171,0.17095092669664,0.05262268212357687,0.06781046973442934
cci,short,pair,USD_SGD,ATR_low_0_33,low,h2,234,-0.10727971741795277,0.0706741696260079,-0.24580108988492821
cci,short,pair,USD_SGD,ATR_mid_33_67,mid,h2,176,-0.12323555675083217,0.10549310722986903,-0.33000204692137547
cci,short,pooled,POOLED,ATR_high_67_100,high,full,6284,-0.007442186732703711,0.016800577492493075,-0.04037131861799014
cci,short,pooled,POOLED,ATR_low_0_33,low,full,7672,0.006591098749781216,0.01796297973030656,-0.028616341521619636
cci,short,pooled,POOLED,ATR_mid_33_67,mid,full,5902,-0.005999806180206208,0.019484955615828674,-0.04419031918723041
cci,short,pooled,POOLED,ATR_high_67_100,high,h1,3165,0.0005086535394919603,0.021549348739208177,-0.04172806998935606
cci,short,pooled,POOLED,ATR_low_0_33,low,h1,3863,-0.005926391387263997,0.026770664105447345,-0.05839689303394079
cci,short,pooled,POOLED,ATR_mid_33_67,mid,h1,2901,0.013055832562677878,0.024435966360752567,-0.03483866150439715
cci,short,pooled,POOLED,ATR_high_67_100,high,h2,3119,-0.015510288515807035,0.024317847215188645,-0.06317326905757678
cci,short,pooled,POOLED,ATR_low_0_33,low,h2,3809,0.019286048710244762,0.027081506260266768,-0.0337937035598781
