tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
672,-0.05263992238357743,0.03840745280902741,-0.12791852988927116,0.022638685122116288,288,-0.016090927593349902,0.058836070529690795,-0.13140962583154386,0.09922777064484406,AUD_USD,10,1,long,960
645,-0.01219207567915925,0.03921175062368723,-0.08904710690158622,0.06466295554326772,277,-0.02438999020582635,0.059965964694905824,-0.14192328100784177,0.09314330059618905,AUD_USD,10,1,short,922
212,-0.012162612425474955,0.06855099915841956,-0.14652257077597727,0.12219734592502737,91,-0.1808019506327545,0.10320295342912471,-0.38307973935383893,0.021475838088329924,AUD_USD,10,2,long,303
211,0.13356670341616472,0.06793209205288037,0.0004198029925192026,0.26671360383981024,91,-0.14745777130186302,0.1038685619726043,-0.35104015276816747,0.056124610164441396,AUD_USD,10,2,short,302
72,0.1552668097452752,0.116428627056246,-0.07293329928496695,0.38346691877551736,32,-0.047731551835877795,0.17736096131797635,-0.39535903601911143,0.29989593234735584,AUD_USD,10,3,long,104
73,0.23510418453369045,0.1130326206597368,0.013560248040606349,0.45664812102677454,32,-0.25,0.1739020859100631,-0.5908480883837237,0.09084808838372366,AUD_USD,10,3,short,105
485,-0.05801684283343424,0.04530932168222816,-0.14682311333060144,0.030789427663732966,208,0.025797177178438598,0.06918075700689263,-0.10979710655507097,0.16139146091194817,AUD_USD,20,1,long,693
453,-0.0342724988410829,0.04673256707040561,-0.1258683302990779,0.05732333261691209,195,-0.055159114292378957,0.07133160528026504,-0.19496906064169844,0.08465083205694052,AUD_USD,20,1,short,648
156,-0.04792876754228695,0.08003025273181387,-0.20478806289664214,0.10893052781206825,68,-0.22724966922912734,0.11823762976684775,-0.45899542357214895,0.004496085113894238,AUD_USD,20,2,long,224
152,0.15092661267083568,0.08017634669298264,-0.006219026847410297,0.30807225218908163,66,-0.218464502855599,0.12039948529073377,-0.45444749402543716,0.01751848831423916,AUD_USD,20,2,short,218
53,0.04111717550301537,0.13728461605525552,-0.22796067196528547,0.3101950229713162,24,-0.06364206911450372,0.20492554956437692,-0.46529614626068244,0.338012008031675,AUD_USD,20,3,long,77
52,0.11851164367229616,0.1365615211437244,-0.1491489377694037,0.386172225113996,23,-0.30434782608695654,0.20308668108561476,-0.7023977210147614,0.09370206884084836,AUD_USD,20,3,short,75
289,-0.06968224489347959,0.05863276771290381,-0.18460246961077104,0.04523797982381188,124,-0.07486094956447989,0.08957787618097177,-0.25043358687918454,0.10071168775022477,AUD_USD,55,1,long,413
266,-0.052421671964104605,0.060741435051184414,-0.17147488466442606,0.06663154073621684,115,-0.17422800136437075,0.09181218238886539,-0.3541798788465469,0.005723876117805421,AUD_USD,55,1,short,381
91,-0.07692307692307693,0.10509693093291896,-0.28291306155159807,0.1290669077054442,40,-0.08632443768951645,0.1579254779640635,-0.3958583744990809,0.22320949912004803,AUD_USD,55,2,long,131
91,0.10924005632930796,0.10419618530768787,-0.09498446687376026,0.31346457953237616,39,-0.23076923076923078,0.15784282339771596,-0.5401411646287541,0.07860270309029249,AUD_USD,55,2,short,130
33,0.12664273641393378,0.17272013211398118,-0.21188872252946936,0.46517419535733695,15,-0.16849397724987264,0.25683335010597796,-0.6718873434575894,0.33489938895784416,AUD_USD,55,3,long,48
